# What each SPDX licence's own canonical text is expected to be identified as, where that is not
# simply "itself, and nothing else". tools/gate.py scans every text in data/spdx-texts.json.gz and
# compares against this file; anything unlisted must report exactly its own ID.
#
# This is the regression baseline for the corpus. A change to a pattern that alters what some
# licence text classifies as cannot land without a line here changing too, which is what makes it
# visible in review rather than a number in a test summary.
#
# Format: <licence whose text is scanned><TAB><IDs reported, comma separated, or "-" for none><TAB><why>

AGPL-1.0-only	AGPL-1.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
AGPL-1.0-or-later	AGPL-1.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
AGPL-3.0-only	AGPL-3.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
AGPL-3.0-or-later	AGPL-3.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
GPL-1.0-only	GPL-1.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
GPL-1.0-or-later	GPL-1.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
GPL-2.0-only	GPL-2.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
GPL-2.0-or-later	GPL-2.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
LGPL-2.0-only	LGPL-2.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
LGPL-2.0-or-later	LGPL-2.0	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
LGPL-2.1-only	LGPL-2.1	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
LGPL-2.1-or-later	LGPL-2.1	The text of the licence is the same either way: -only vs -or-later is a distinction the file header makes, so the corpus reports the unsuffixed ID for the licence text itself.
GPL-3.0-only	GPL-3.0,GPL-3.0-or-later	As for GPL-2.0-only, plus the v3 text ends with a "how to apply" section that is itself an -or-later notice, which the header pattern matches.
GPL-3.0-or-later	GPL-3.0,GPL-3.0-or-later	The v3 text ends with a "how to apply" section that is itself an -or-later notice, matched as a second region.
LGPL-3.0-only	LGPL-3.0,GPL-3.0,GPL-3.0-or-later	The LGPL v3 text incorporates the GPL v3 by reference and carries the same "how to apply" section.
LGPL-3.0-or-later	LGPL-3.0,GPL-3.0,GPL-3.0-or-later	See LGPL-3.0-only.
GFDL-1.1-invariants-only	GFDL-1.1	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.1-invariants-or-later	GFDL-1.1	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.1-no-invariants-only	GFDL-1.1	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.1-no-invariants-or-later	GFDL-1.1	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.2-invariants-only	GFDL-1.2	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.2-invariants-or-later	GFDL-1.2	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.2-no-invariants-only	GFDL-1.2	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.2-no-invariants-or-later	GFDL-1.2	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.3-invariants-only	GFDL-1.3	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.3-invariants-or-later	GFDL-1.3	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.3-no-invariants-only	GFDL-1.3	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
GFDL-1.3-no-invariants-or-later	GFDL-1.3	The corpus distinguishes invariant sections in a *header*; the licence text alone cannot say whether any are declared, so its text reports the unsuffixed ID.
